Cluster ID	Cluster Name	Types	Size	Organisms	Length	Identity
UniRef50_A0A0A1CG60	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	6	Influenza A virus (A/Pernambuco/131205-IEC/2014(H3N2); Influenza A virus (A/Paraiba/130228-IEC/2014(H3N2); Influenza A virus (A/Pernambuco/130951-IEC/2014(H3N2); Influenza A virus (A/Paraiba/131270-IEC/2014(H3N2); Influenza A virus (A/Paraiba/130988-IEC/2014(H3N2); Influenza A virus (A/Haryana/015/2015(H3N2)	182	0.5
UniRef50_A0A0A7A7L3	Cluster: Polymerase PA (Fragment)	UniProtKB Unreviewed (TrEMBL)	47	Influenza A virus (A/chicken/Jilin/GYH2-1/2012(H9N2); Influenza A virus (A/chicken/Jilin/GYH3-1/2012(H9N2); Influenza A virus (A/chicken/Jilin/GYH1/2012(H9N2); Influenza A virus (A/chicken/Jilin/SJ172/2012(H9N2); Influenza A virus (A/chicken/Jilin/SJ12/2012(H9N2); Influenza A virus (A/chicken/Jilin/SJJT/2012(H9N2); Influenza A virus (A/chicken/Jilin/GYH1-1/2012(H9N2); Influenza A virus (A/duck/Hokkaido/1130/01(H1N1); Influenza A virus (A/duck/Hokkaido/1169/2001(H1N1); Influenza A virus (A/duck/Hokkaido/1197/2001(H1N1)	160	0.5
UniRef50_A0A0A7A801	Cluster: Nucleocapsid protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	51	Influenza A virus (A/chicken/Jilin/GYH1/2012(H9N2); Influenza A virus (A/chicken/Jilin/GYH3-1/2012(H9N2); Influenza A virus (A/swine/Henan/7/2004(H9N2); Influenza A virus (A/tern/Australia/91/2004(H2N5); Influenza A virus (A/swine/Fujian/43/2007(H3N2); Influenza A virus (A/wild bird/Jilin/SJ95/2012(H9N2); Influenza A virus (A/chicken/Jilin/DH108/2012(H9N2); Influenza A virus (A/chicken/Jilin/SJ19/2012(H9N2); Influenza A virus (A/chicken/Jilin/SJ13/2012(H9N2); Influenza A virus (A/chicken/Jilin/SJ15/2012(H9N2)	116	0.5
UniRef50_A0A0B4UVB1	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Shenzhen/712/2013(mixed)	374	0.5
UniRef50_A0A0B4UW24	Cluster: Matrix protein 1 (Fragment)	UniProtKB Unreviewed (TrEMBL)	9	Influenza A virus (A/duck/Jiangxi/5423/2014(mixed); Influenza A virus (A/Brazil/P167/2009(H1N1); Influenza A virus (A/Sendai-H/271/2007(H3N2); Influenza A virus (A/Sendai/TU106/2007(H1N1); Influenza A virus (A/duck/Shanghai/08/05(H9N2); Influenza A virus (A/Beijing/404/2009(H3N2); Influenza A virus (A/Sendai-H/F005/2006(H3N2); Influenza A virus (A/Beijing/393/2009(H3N2)	127	0.5
UniRef50_A0A0B4UY65	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	309	Influenza A virus (A/chicken/Jiangxi/13212/2014(mixed); Influenza A virus (A/goose/Guangxi/914/2004(H5N1); Influenza A virus (A/chicken/India/09CA01/2011(H5N1); Influenza A virus (A/duck/Hong Kong/289/78(H9N2); Influenza A virus (A/duck/Vietnam/568/2005(H5N1); Influenza A virus (A/Pheasant/HongKong/FY155/01(H5N1); Influenza A virus (A/Duck/Hong Kong/573.4/01 (H5N1); Influenza A virus (A/chicken/Kulon Progo/BBVet-XII-2/2004(H5N1); Influenza A virus (A/Ck/HK/3169.1/2002(H5N1); Influenza A virus (A/chicken/Indonesia/2A/2003(H5N1)	550	0.5
UniRef50_A0A0C4ZKX7	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	435	Influenza A virus (strain swl A/California/04/2009 H1N1); Influenza A virus (A/swine/Illinois/02960/2010(H1N1); Influenza A virus (A/swine/Missouri/00494/2005(H1); Influenza A virus (A/swine/Illinois/00370/2004(H1); Influenza A virus (A/swine/Minnesota/00206/2003(H1N1); Influenza A virus (A/swine/North Carolina/01733/2007(H1N1); Influenza A virus (A/swine/Minnesota/01096/2006(H1N1); Influenza A virus (A/swine/North Carolina/01865/2007(H1); Influenza A virus (A/swine/Minnesota/01137/2006(H1N1); Influenza A virus (A/swine/Oklahoma/02063/2008(H1N1)	283	0.5
UniRef50_A0A0C5A544	Cluster: Matrix protein 2 (Fragment)	UniProtKB Unreviewed (TrEMBL)	86	Influenza A virus (A/duck/Jiangxi/23970/2013(mixed); Influenza A virus (A/swine/Nagano/2000(H3N2); Influenza A virus (A/Fujian/633/2003(H3N2); Influenza A virus (A/Gansu-Chengguan/1245/2007(H3N2); Influenza A virus (A/Jingke/113/1998(H3N2); Influenza A virus (A/Henan/8/2002(H3N2); Influenza A virus (A/Fuzhou/89/2005(H3N2); Influenza A virus (A/Tianjin-Hedong/167/2007(H3N2); Influenza A virus (A/Fujian/126/1996(H3N2); Influenza A virus (A/Sichuan/401/1997(H1N1)	88	0.5
UniRef50_A0A0C5A800	Cluster: Non-structural protein 1	UniProtKB Unreviewed (TrEMBL); UniParc	15	Influenza A virus (A/chicken/Jiangxi/19463/2014(mixed); Influenza A virus (A/Thailand/VIROAF2CS/2012(H3N2); Influenza A virus (A/chicken/Dongguan/1415/2014(mixed); Influenza A virus (A/chicken/Iran/SR110/2007(H9N2); Influenza A virus (A/Sendai/TU204/2008(H3N2); Influenza A virus (A/reassortant/X161(Wisconsin/67/2005 x PuertoRico/8/1934); Influenza A virus (A/swine/Italy/3033-1/2015(H1N2); Influenza A virus; Influenza A virus (A/duck/Mongolia/500/2001(H5N3); Influenza A virus (A/duck/Mongolia/596/2001(H5N3)	217	0.5
UniRef50_A0A0C5AA83	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	23	Influenza A virus (A/chicken/Jiangxi/18476/2014(mixed); Influenza A virus; Influenza A virus (A/Tainan/704/2003(H3N2); Influenza A virus (A/Uberlandia/249/2003(H3N2); Influenza A virus (A/Uberlandia/320/2003(H3N2); Influenza A virus (A/Uberlandia/321/2003(H3N2); Influenza A virus (A/Yilan/513/03(H3N2); Influenza A virus (A/Yilan/515/03(H3N2); Influenza A virus (A/Yilan/518/03(H3N2); Influenza A virus (A/Tainan/712/2003(H3N2)	146	0.5
UniRef50_A0A0C5AAU8	Cluster: Polymerase acidic protein	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Jiangxi/18517/2014(mixed); Influenza A virus (A/Malaysia/2097724/2009(mixed)	716	0.5
UniRef50_A0A0C5AB48	Cluster: Non-structural protein 1 (Fragment)	UniProtKB Unreviewed (TrEMBL)	56	Influenza A virus (A/chicken/Jiangxi/19463/2014(mixed); Influenza A virus; Influenza A virus (A/swine/Spain/51915/2003(H1N1); Influenza A virus (A/turkey/Italy/589/2000(H7N1); Influenza A virus (A/Berlin/90/98(H3N2); Influenza A virus (A/mallard/Sweden/100993/2008(H7N7); Influenza A virus (A/Guangdong/09/2005(H3N2); Influenza A virus (A/Pavia/22/2009(H3N2); Influenza A virus (A/partridge/Shantou/5692/2000(H9N2); Influenza A virus (A/chicken/Hebei/1024/2012(H9N2)	80	0.5
UniRef50_A0A0C5ABT1	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	17	Influenza A virus (A/chicken/Iran/AIc/2013(H9); Influenza A virus (A/chicken/India/12CL3073/2015(H9N2); Influenza A virus (A/chicken/India/12CL3075/2015(H9N2); Influenza A virus (A/chicken/India/12CL3074/2015(H9N2); Influenza A virus (A/chicken/India/2784/2003(H9N2); Influenza A virus (A/chicken/India/12CL3072/2015(H9N2); Influenza A virus (A/chicken/Iran/ARH1100/2013(H9N2); Influenza A virus (A/chicken/Iran/ARH1300/2014(H9N2); Influenza A virus (A/chicken/Iran/ARH1250/2014(H9N2); Influenza A virus (A/chicken/Iran/AId/2013(H9)	144	0.5
UniRef50_A0A0C5AL64	Cluster: Protein PA-X (Fragment)	UniProtKB Unreviewed (TrEMBL)	48	Influenza A virus (A/chicken/Jiangxi/14502/2014(mixed); Influenza A virus (A/chicken/Vietnam/NCVD-3186/2013(H5N1); Influenza A virus (A/pheasant/Shantou/2798/2004(H6N1); Influenza A virus (A/chukkar/Shantou/2478/2004(H6N1); Influenza A virus (A/egret/Peru-CH50/2010(H6N8); Influenza A virus; Influenza A virus (A/chicken/Guangxi/4745/2005(H9N2); Influenza A virus (A/softbill/California/33445-136/1992(H7N1); Influenza A virus (A/mallard/Italy/43/2001(H7N3); Influenza A virus (A/mallard/Italy/33/01(H7N3)	516	0.5
UniRef50_A0A0C6ESV1	Cluster: PB1 protein	UniProtKB Unreviewed (TrEMBL)	4	Influenza A virus (A/duck/Quang Ninh/55/2013(H6N6); Influenza A virus (A/muscovy duck/Quang Ninh/71/2013(H6N6); Influenza A virus (A/duck/Quang Ninh/17/2013(H6N6); Influenza A virus	34	0.5
UniRef50_A0A0D3QJF3	Cluster: Nonstructural protein 1 (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	8	Influenza B virus (B/Haryana/Y43/2013); Influenza B virus (B/Haryana/Y44/2013); Influenza B virus (B/Haryana/Y42/2013); Influenza B virus (B/Haryana/Y40/2013); Influenza B virus (B/Haryana/Y39/2013); Influenza B virus (B/Haryana/Y38/2012); Influenza B virus; Influenza B virus (B/Lee/1940)	152	0.5
UniRef50_A0A0E3VLL3	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	7	Influenza C virus (C/Leyte/1/2011); Influenza C virus (C/Leyte/2/2011); Influenza C virus (C/Sendai/TU2/2012); Influenza C virus (C/Nara/1/85); Influenza C virus (C/Sendai/TU5/2008); Influenza C virus (strain C/Nara/1982)	125	0.5
UniRef50_A0A0E3VZU8	Cluster: NP	UniProtKB Unreviewed (TrEMBL); UniParc	87	Influenza D virus (D/bovine/France/2986/2012); Influenza D virus; Influenza D virus (D/bovine/Mississippi/C00046N/2014); Influenza D virus (D/bovine/Minnesota/729/2013); Influenza D virus (D/bovine/Kansas/1-35/2010); Influenza D virus (D/bovine/Nebraska/9-5/2012); Influenza D virus (D/bovine/Shandong/Y127/2014); Influenza D virus (D/swine/Oklahoma/1334/2011); Influenza D virus (D/swine/Italy/268344-2/2015); Influenza D virus (D/bovine/Shandong/Y217/2014)	552	0.5
UniRef50_A0A0F6QUA1	Cluster: Matrix protein 1 (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza B virus (B/Beijing/FL33/2013); unidentified influenza virus	127	0.5
UniRef50_A0A0F6T9D7	Cluster: Glycoprotein NB (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza B virus (B/Beijing/FL36/2013)	41	0.5
UniRef50_A0A0F6T9L9	Cluster: Glycoprotein NB (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza B virus (B/Beijing/FL35/2013)	21	0.5
UniRef50_A0A0F7QIS1	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	13	Influenza A virus (A/duck/Hokkaido/203/2013(H2N1); Influenza A virus (A/goose/Bojonggenteng/IPB2-RS/2006(H5N1); Influenza A virus (A/duck/Vietnam/S649/2005(H5N1); Influenza A virus (A/mallard duck/Korea/CBU143781/2014(H1N1); Influenza A virus (A/chicken/Egypt/131/2013(H5N1); Influenza A virus (A/chicken/Bangladesh/BL-671/2012(H5N1); Influenza A virus (A/chicken/Bangladesh/BL-499/2011(H5N1); Influenza A virus; Influenza A virus (A/Thailand/1(KAN-1); Influenza A virus (A/Anhui/1/2005(H5N1)	241	0.5
UniRef50_A0A0G2QYB5	Cluster: Nuclear export protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Thailand/VIROAF2CS/2012(H3N2)	30	0.5
UniRef50_A0A0G2RRZ8	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	30	Influenza A virus (A/Hunan Changsha Furong/1280/2008(H1N1); Influenza A virus (A/Vietnam/H125/2006(H1N1); Influenza A virus (A/Pavia/13/2009(H1N1); Influenza A virus (A/Cluj/14972/2009(H1N1); Influenza A virus (A/Ilfov/14852/2009(H1N1); Influenza A virus (A/Braila/15575/2009(H1N1); Influenza A virus (A/Covasna/357/2010(H1N1); Influenza A virus (A/Buzau/14584/2009(H1N1); Influenza A virus (A/Mexico/InDRE36529/2009(H1N1); Influenza A virus (A/Suceava/406/2010(H1N1)	251	0.5
UniRef50_A0A0G3XMM7	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	219	Influenza A virus (A/duck/Peru/PV80/2008(H2N9); Influenza A virus (A/duck/Hokkaido/491008/2011(H2N3); Influenza A virus (A/pintail/Shimane/1086/1981(H2N3); Influenza A virus (A/swan/Shimane/221/1999(H2N3); Influenza A virus (A/whistling swan/Shimane/1447/1982(H2N3); Influenza A virus (A/duck/Hokkaido/W163/2010(H2N3); Influenza A virus (A/Jodhpur/s3/2015(H1N1); Influenza A virus (A/swine/Minnesota/SG1395/2011(H1N2); Influenza A virus (A/cat/Italy/304678-1/2009(H1N1); Influenza A virus (A/Spain/55-3R/2010(H1N1)	395	0.5
UniRef50_A0A0G3XP61	Cluster: Putative PB1-F2 protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/oystercatcher/Peru/34/2006(H10N9)	24	0.5
UniRef50_A0A0G3XPD5	Cluster: Protein PA-X (Fragment)	UniProtKB Unreviewed (TrEMBL)	12	Influenza A virus (A/egret/Peru-CH50/2010(H6N8); Influenza A virus (A/willet/Peru-CH49/2010(H6N8); Influenza A virus (A/ruddy turnstone/Peru/PuV52/2008(H12N5); Influenza A virus (A/ruddy turnstone/Peru/PuV51/2008(H12N5); Influenza A virus (A/gull/Peru/CH121/2010(H13N2); Influenza A virus (A/duck/Peru-PV72/2008(H7N3); Influenza A virus (A/black skimmer/Peru/CH55/2010(H13N2); Influenza A virus; Influenza A virus (A/duck/Peru/P114/2009(H3N2); Influenza A virus (A/Netherlands/233/1982(H3N2)	101	0.5
UniRef50_A0A0G3XPL5	Cluster: PA-X protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Peru/MM17/2007(H4N5)	43	0.5
UniRef50_A0A0G3XPR1	Cluster: PA-X protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/whimbrel/Peru/P41/2007(H13N2); Influenza A virus (A/duck/Sidrap/07160336-3/2016(H5N1)	51	0.5
UniRef50_A0A0G3XQ75	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	10	Influenza A virus (A/duck/Peru-PuV196/2009(H10N2); Influenza A virus (A/ruddy turnstone/Peru/MM149/2008(H10N7); Influenza A virus (A/oystercatcher/Peru/MM152/2008(H10N7); Influenza A virus (A/chicken/Queensland/1995(H7N3); Influenza A virus (A/ruddy turnstone/Delaware/1554/2000(H10N7); Influenza A virus (A/migratory duck/Jiangxi/7231/2003(H10N5); Influenza A virus (A/wild bird/Korea/A01/2009(H10N6); Influenza A virus (A/mallard/Korea/1041/2010(H10N8); Influenza A virus (A/mallard/Portugal/79927/2009(H10N7); Influenza A virus (A/mallard/Portugal/79905/2009(H10N7)	416	0.5
UniRef50_A0A0J9X251	Cluster: Hemagglutinin HA2 chain	UniProtKB Unreviewed (TrEMBL); UniParc	4	Influenza A virus; Influenza A virus (A/harbour seal/Germany/1/2014(H10N7)	182	0.5
UniRef50_A0A0K0L651	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/swine/Brazil/232-11-14/2011(H1N2); Influenza A virus (A/Hong Kong/1134/1998(H1N1)	285	0.5
UniRef50_A0A0K0NE49	Cluster: Hemagglutinin	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/Italy/126216-1/2012(H1N2)	560	0.5
UniRef50_A0A0K0NM17	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	43	Influenza A virus (A/mallard/Netherlands/72/2008(H10N7); Influenza A virus (A/chicken/NSW/1651/1997(H7N4); Influenza A virus (A/duck/Italy/01/2008(H3); Influenza A virus (A/Teal/Norway/10_1037/2010(H3N2); Influenza A virus; Influenza A virus (A/teal/Altai/69/2008(H3N8); Influenza A virus (A/mallard/Netherlands/42/2013(H7); Influenza A virus (A/teal/Tunka/7/2010(H3N8); Influenza A virus (A/India/4907/2014(H3N2); Influenza A virus (A/swine/Ohio/16TOSU0255/2016(mixed)	252	0.5
UniRef50_A0A0K0NMA7	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	2	Influenza A virus (A/mallard/Netherlands/1/2013(H7N7); Escherichia coli	159	0.5
UniRef50_A0A0K0YAU3	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	5	Influenza A virus (A/chicken/Tangerang/SBO-0069-04/2015(H5N1); Influenza A virus (A/duck/Uttaradit-2-01/2004(H5N1); Influenza A virus; Streptomyces beijiangensis	214	0.5
UniRef50_A0A0K2FQR4	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	175	Influenza A virus (A/duck/Bangladesh/Gouripur-12/2013(H5N1); Influenza A virus (A/chicken/Iraq/KCVL-008/2015(H5N1); Influenza A virus (A/chicken/Tibet/QX2/2009(H5); Influenza A virus (A/chicken/Hunan/2292/2006(H5N1); Influenza A virus (A/chicken/Hunan/2246/2006(H5N1); Influenza A virus (A/pigeon/Huadong/QPG/2010(H5N1); Influenza A virus (A/duck/Huadong/QDZ5/2010(H5N1); Influenza A virus (A/chicken/Shanxi/QX2/2009(H5N1); Influenza A virus (A/chicken/Ningxia/QH14/2009(H5); Influenza A virus (A/chicken/Anhui/QG5/2008(H5)	446	0.5
UniRef50_A0A0K2S401	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	53	Influenza A virus (A/duck/Vietnam/HU1-1044/2014(H3N2); Influenza A virus (A/duck/Vietnam/HU1-632/2014(H6N6); Influenza A virus (A/swine/Guangdong/811/2006(H3N2); Influenza A virus (A/swine/Shandong/106/2007(H3N2); Influenza A virus (A/swine/Guangdong/968/2006(H3N2); Influenza A virus (A/swine/Shandong/133/2007(H3N2); Influenza A virus (A/swine/Guangdong/211/2006(H3N2); Influenza A virus (A/swine/Beijing/21/2008(H1N1); Influenza A virus (A/American black duck/Newfoundland/MW774/2010(H11N9); Influenza A virus	285	0.5
UniRef50_A0A0K2S404	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	11	Influenza A virus (A/duck/Vietnam/HU1-151/2014(H11N7); Influenza A virus (A/falcata teal/Korea/VI160246/2016(H11N9); Influenza A virus (A/aquatic bird/Korea/CN-1/2004(H3N6); Influenza A virus (A/aquatic bird/Korea/CN-4/2006(H3N3); Influenza A virus; Influenza A virus (A/chicken/Shanghai/Q0801-2/2008(H9N2); Influenza A virus (A/chicken/Iran/TH77/1998(H9N2); Influenza A virus (A/chicken/Iran/TH90/2011(H9N2); Influenza A virus (A/mallard duck/Korea/VI144461/2014(H4N6); Influenza A virus (A/aquatic bird/Korea/JN-1/2005(H3N8)	252	0.5
UniRef50_A0A0K2S4S9	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Vietnam/HU1-1501/2014(H3N2)	174	0.5
UniRef50_A0A0P0E776	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/sacred ibis/South Africa/IZN/2012(H7N1)	265	0.5
UniRef50_A0A0P0EN50	Cluster: Polymerase basic protein 2 (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/sacred ibis/South Africa/IZN/2012(H7N1)	401	0.5
UniRef50_A0A0P0L8K2	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Iraq/KCVL-VI/2015(H5N4)	385	0.5
UniRef50_A0A0R5QE54	Cluster: Nucleoprotein (Fragment)	UniProtKB Unreviewed (TrEMBL)	6	Influenza B virus (B/Connecticut/Flu118/2013); Influenza B virus (B/New York/1380/2012); Influenza B virus (B/Connecticut/Flu108/2013); Influenza B virus (B/Connecticut/Flu110/2013); Influenza B virus (B/Connecticut/Flu103/2013); Salamander influenza-like virus	444	0.5
UniRef50_A0A0U2GSV4	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/goose/Taiwan/TNO5/2015(H5N8)	562	0.5
UniRef50_A0A0U3TGM2	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	132	Influenza A virus (A/Beijing/74/2014(H1N1); Influenza A virus (A/Beijing/66/2014(H1N1); Influenza A virus (A/Karaikal/KIM74/2012(H1N1); Influenza A virus (A/Pondicherry/SW1830/2015(H1N1); Influenza A virus (A/Pondicherry/SW1811/2015(H1N1); Influenza A virus (A/Pondicherry/PIP565/2015(H1N1); Influenza A virus (A/Pondicherry/PIM555/2015(H1N1); Influenza A virus (A/Pondicherry/SW1720/2015(H1N1); Influenza A virus (A/Pondicherry/JIM982/2015(H1N1); Influenza A virus (A/Pondicherry/SW1661/2015(H1N1)	277	0.5
UniRef50_A0A0X7YR15	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/common pochard/Shanxi/16L/2015(H5N1); Influenza A virus (A/chicken/Iraq/KCVL-007/2015(H5N1)	286	0.5
UniRef50_A0A0X7YRM1	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Guangdong/G1645/2014(H7)	144	0.5
UniRef50_A0A0X7YUK3	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	60	Influenza A virus (A/chicken/Shanghai/S3325/2014(H7N9); Influenza A virus (A/northern shoveler/Egypt/EMC-1/2010(H7); Influenza A virus (A/mallard/Egypt/EMC-5/2012(H7); Influenza A virus (A/mallard/Egypt/EMC-6/2012(H7); Influenza A virus (A/mallard/Netherlands/36/2013(H7); Influenza A virus (A/equine/Cordoba/5/1976(H7N7); Influenza A virus (A/mallard/Iran/V31/04(H7); Influenza A virus (A/chicken/Jiangsu/J3748/2014(H7N9); Influenza A virus (A/chicken/Italy/1081/1999(H7N1); Influenza A virus (A/chicken/Germany/R28/03(H7N7)	327	0.5
UniRef50_A0A0X7Z1V6	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	313	Influenza A virus (A/duck/Jiangsu/JF355/2014(H3); Influenza A virus (A/Baylor4A/83(H3N2); Influenza A virus (A/Rotterdam/8179/1977(H3N2); Influenza A virus (A/swine/Italy/636/87(H3N2); Influenza A virus (A/swine/Cote d'Armor/3633/84(H3N2); Influenza A virus (strain A/Philippines/2/1982 H3N2); Influenza A virus (A/Praha/2/83(HI plus); Influenza A virus (A/Belgium/2/81); Influenza A virus (A/Baylor3A/83(H3N2); Influenza A virus (A/Oregon/4/80(H3N2)	307	0.5
UniRef50_A0A0X8CYQ5	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza B virus (B/Israel/X920/2012)	158	0.5
UniRef50_A0A0X9VU65	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	8	Influenza B virus (B/Israel/Z1409/2014); Influenza B virus (B/Israel/Y978/2013); Influenza B virus (B/Israel/Z1105/2014); Influenza B virus (B/Israel/Y913/2013); Influenza B virus (B/Israel/Y1481/2013); Influenza B virus (B/Israel/Y1443/2013); Influenza B virus (B/Israel/Y939/2013); Influenza B virus (B/Israel/Y945/2013)	158	0.5
