Cluster ID	Cluster Name	Types	Size	Organisms	Length	Identity
UniRef90_A0A023PTV8	Cluster: Putative PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	4	Influenza A virus (A/chicken/Bangladesh/18857/2013(H9N2); Influenza A virus (A/chicken/Bangladesh/11315/2011(H9N2); Influenza A virus (A/chicken/Bangladesh/11309/2011(H9N2); Influenza A virus (A/chicken/India/04CA17/2015(H5N1)	52	0.9
UniRef90_A0A023PUS9	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Bangladesh/16448/2012(H9N2)	348	0.9
UniRef90_A0A023PVE4	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/chicken/Bangladesh/19565/2013(H9N2); Influenza A virus (A/chicken/Bhutan/02CL505/2013(H5N1); Influenza A virus (A/chicken/Nepal/08TI76/2013(H5N1)	57	0.9
UniRef90_A0A023PWJ6	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	5	Influenza A virus (A/swine/Ohio/13TOSU2130/2013(H3N2); Influenza A virus (A/swine/Ohio/13TOSU2132/2013(H3N2); Influenza A virus (A/swine/Indiana/13TOSU1217/2013(H3N2); Influenza A virus (A/swine/Indiana/13TOSU1207/2013(H3N2); Influenza A virus (A/swine/Indiana/13TOSU5095/2013(H3N2)	57	0.9
UniRef90_A0A023PXH3	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/Ohio/13TOSU0554/2013(H1N2)	469	0.9
UniRef90_A0A023VWN3	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/chicken/Bhutan/331/2012(H5N1); Influenza A virus (A/chicken/Bhutan/330/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/328/2012(H5N1)	449	0.9
UniRef90_A0A023VWT6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/chicken/Bhutan/934/2012(H5N1); Influenza A virus (A/chicken/Bhutan/10CL1216/2012(H5N1); Influenza A virus (A/chicken/Bhutan/933/2012(H5N1)	449	0.9
UniRef90_A0A023VX03	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/407/2012(H5N1); Influenza A virus (A/chicken/Bhutan/406/2012(H5N1)	449	0.9
UniRef90_A0A023VX34	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/349/2012(H5N1); Influenza A virus (A/chicken/Bhutan/347/2012(H5N1)	449	0.9
UniRef90_A0A023VX62	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/418/2012(H5N1); Influenza A virus (A/chicken/Bhutan/417/2012(H5N1)	449	0.9
UniRef90_A0A023VXH2	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/South Dakota/A01480750/2014(H1N1)	469	0.9
UniRef90_A0A023VXM0	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	4	Influenza A virus (A/chicken/Bhutan/352/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/327/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/326/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/325/2012(H5N1)	449	0.9
UniRef90_A0A023VXN4	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/936/2012(H5N1); Influenza A virus (A/chicken/Bhutan/935/2012(H5N1)	449	0.9
UniRef90_A0A023VXS2	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	12	Influenza A virus (A/chicken/Bhutan/507/2012(H5N1); Influenza A virus (A/chicken/Bhutan/505/2012(H5N1); Influenza A virus (A/chicken/Bhutan/415/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/308/2012(H5N1); Influenza A virus (A/chicken/Bhutan/414/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/329/2012(H5N1); Influenza A virus (A/chicken/Bhutan/367/2012(H5N1); Influenza A virus (A/chicken/Bhutan/413/2012(H5N1); Influenza A virus (A/chicken/Bhutan/416/2012(H5N1); Influenza A virus (A/duck/India/02CA10/2011(H5N1)	449	0.9
UniRef90_A0A023VXT4	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/1030/2012(H5N1); Influenza A virus (A/chicken/Bhutan/1031/2012(H5N1)	449	0.9
UniRef90_A0A023VY40	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/345/2012(H5N1); Influenza A virus (A/chicken/Bhutan/346/2012(H5N1)	449	0.9
UniRef90_A0A023VYA2	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/wild bird/Bhutan/356/2012(H5N1); Influenza A virus (A/wild bird/Bhutan/357/2012(H5N1)	449	0.9
UniRef90_A0A023VYD6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Bhutan/317/2012(H5N1)	449	0.9
UniRef90_A0A023VYG5	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/chicken/Bhutan/1029/2012(H5N1); Influenza A virus (A/chicken/Bhutan/1026/2012(H5N1); Influenza A virus (A/chicken/Bhutan/1028/2012(H5N1)	449	0.9
UniRef90_A0A023VYK0	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	5	Influenza A virus (A/chicken/Bhutan/297/2012(H5N1); Influenza A virus (A/chicken/Bhutan/258/2012(H5N1); Influenza A virus (A/chicken/Bhutan/298/2012(H5N1); Influenza A virus (A/chicken/Bhutan/259/2012(H5N1); Influenza A virus (A/chicken/Bhutan/257/2012(H5N1)	449	0.9
UniRef90_A0A023VYL0	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Bhutan/265/2012(H5N1); Influenza A virus (A/chicken/Bhutan/260/2012(H5N1)	449	0.9
UniRef90_A0A024A4P3	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/North Carolina/A01475217/2014(H3N2)	469	0.9
UniRef90_A0A024A581	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/Iowa/A01410456/2014(H1N2)	469	0.9
UniRef90_A0A024B756	Cluster: RNA-directed RNA polymerase catalytic subunit	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/New Zealand/223-31/2005(H4N6)	757	0.9
UniRef90_A0A024B782	Cluster: Polymerase acidic protein	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/mallard/New Zealand/1613-39/2004(H2N7); Influenza A virus (A/ruddy turnstone/Delaware Bay/210/1995(N9); Influenza A virus (A/pintail/Alberta/352/1986(H6N2)	716	0.9
UniRef90_A0A024B7K6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	9	Influenza B virus (B/Managua/70.01/2008); Influenza B virus (B/Nicaragua/3758_01/2008); Influenza B virus (B/Managua/3759.01/2008); Influenza B virus (B/Managua/4702.01/2008); Influenza B virus (B/Managua/4847.02/2008); Influenza B virus (B/Managua/4705.02/2008); Influenza B virus (B/Managua/4577.01/2008); Influenza B virus (B/Managua/2941.01/2008); Influenza B virus (B/Nicaragua/4847_02/2008)	466	0.9
UniRef90_A0A024B805	Cluster: Polymerase basic protein 2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/New Zealand/223-31/2005(H4N6)	759	0.9
UniRef90_A0A024B8A8	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Victoria/30a/1981(H12N7)	142	0.9
UniRef90_A0A024B8C6	Cluster: Hemagglutinin	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/mallard/New Zealand/449-81/2004(H2N3); Influenza A virus (A/mallard/New Zealand/1613-39/2004(H2N7)	562	0.9
UniRef90_A0A024CNI6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza B virus (B/Nicaragua/AGB2-17/2012)	466	0.9
UniRef90_A0A024CPF3	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	3	Influenza B virus (B/Nicaragua/AGB2-14/2012); Influenza B virus (B/Kentucky/03/2012); Influenza B virus (B/Michigan/06/2012)	466	0.9
UniRef90_A0A024CQ42	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/mallard/Sweden/3244/2003(H8N4); Influenza A virus (A/mallard/Sweden/3240/2003(H8N4); Influenza A virus (A/Eurasian wigeon/Sweden/1/2004(H6N2)	90	0.9
UniRef90_A0A024CT87	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Portugal/83660/2009(H9N2)	90	0.9
UniRef90_A0A024CUT3	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/mallard/Sweden/233/2002(H10N8); Influenza A virus; Influenza A virus (A/mute swan/Aktau/1460/2006(H5N1)	90	0.9
UniRef90_A0A024CWG9	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	240	Influenza A virus (A/common snipe/Republic of Georgia/1/2012(H13N2); Influenza A virus (A/black-headed gull/Netherlands/32/2014(H13N6); Influenza A virus (A/black-headed gull/Netherlands/3/2014(H13N6); Influenza A virus (A/black-headed gull/Netherlands/14/2014(H13N6); Influenza A virus (A/black-headed gull/Netherlands/2/2014(H13N2); Influenza A virus (A/black-headed gull/Netherlands/10/2014(H13N6); Influenza A virus (A/black-headed gull/Netherlands/31/2014(H13N6); Influenza A virus (A/black-headed gull/Netherlands/33/2014(H13N6); Influenza A virus (A/black-headed gull/Netherlands/13/2014(H13N2); Influenza A virus (A/black-headed gull/Netherlands/11/2014(H13N6)	90	0.9
UniRef90_A0A024CWL6	Cluster: PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/black-headed gull/Republic of Georgia/8/2011(H9N3); Influenza A virus (A/black-headed gull/Georgia/5/2011(H9N3)	90	0.9
UniRef90_A0A024D331	Cluster: Polymerase basic protein 2 (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/California/7-KSU_RG46/2009(H1N1)	744	0.9
UniRef90_A0A024D408	Cluster: PB1-F2 protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Sweden/3463/2003(H6N2)	39	0.9
UniRef90_A0A024D7E4	Cluster: Hemagglutinin	UniProtKB Unreviewed (TrEMBL)	12	Influenza A virus (A/northern shoveler/Illinois/12OS5294/2012(H10N3); Influenza A virus (A/American coot/Illinois/3405/2009(H10N3); Influenza A virus (A/blue-winged teal/Louisiana/UGAI14-453/2014(H10N3); Influenza A virus (A/blue-winged teal/Lousiana/UGAI14-0496/2014(mixed); Influenza A virus (A/blue-winged teal/Louisiana/UGAI14-430/2014(H10N3); Influenza A virus (A/blue-winged teal/Lousiana/UGAI14-0463/2014(H10N3); Influenza A virus; Influenza A virus (A/American coot/Missouri/15OS6556/2015(H10N2); Influenza A virus (A/blue-winged teal/Lousiana/UGAI14-0494/2014(H10N3); Influenza A virus (A/blue-winged teal/Louisiana/UGAI14-821/2014(H10N3)	561	0.9
UniRef90_A0A024D840	Cluster: Nucleoprotein (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/American green-winged teal/Ohio/12OS4717/2012)	424	0.9
UniRef90_A0A024D9A5	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	22	Influenza A virus (A/mallard/Ohio/12OS2174/2012(H6N1); Influenza A virus (A/mallard/Wisconsin/12OS2425/2012(H6N1); Influenza A virus (A/mallard/Maryland/12OS637/2012(mixed); Influenza A virus (A/mallard/Ohio/12OS5582/2012(mixed); Influenza A virus (A/mallard/Ohio/12OS1418/2012(mixed); Influenza A virus (A/blue-winged teal/Ohio/12OS2244/2012(H4N6); Influenza A virus (A/redhead/Ohio/13OS0428/2013(H6N2); Influenza A virus (A/American green-wingedteal/Wisconsin/11OS3592/2011(H4N6); Influenza A virus (A/mallard/Wisconsin/11OS3467/2011(mixed); Influenza A virus (A/northern shoveler/Mississippi/11OS5805/2011(H5N1)	87	0.9
UniRef90_A0A024E276	Cluster: Polymerase acidic protein	UniProtKB Unreviewed (TrEMBL)	6	Influenza A virus (A/Houston/JMM_42/2012(H3N2); Influenza A virus (A/Wisconsin/15/2009(H3N2); Influenza A virus (A/Argentina/HNRG84/2009(H1N1); Influenza A virus (A/Headington/INS3_635/2011); Influenza A virus (A/Argentina/HNRG23/2009(H1N1); Influenza A virus (A/Jodhpur/s3/2015(H1N1)	716	0.9
UniRef90_A0A024E2K3	Cluster: Hemagglutinin	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Houston/JMM_42/2012(H3N2)	566	0.9
UniRef90_A0A024E2L4	Cluster: Polymerase PB2	UniProtKB Unreviewed (TrEMBL)	4	Influenza A virus (A/Houston/JMM_42/2012(H3N2); Influenza A virus; Influenza A virus (A/reassortant/NYMC X-197(Brisbane/11/2010 x PuertoRico/8/1934)	759	0.9
UniRef90_A0A059PRZ6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/chicken/Zhejiang/C497/2013(H9N2); Influenza A virus (A/chicken/Zhejiang/C487/2013(H9N2)	466	0.9
UniRef90_A0A059SWA1	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Cambodia/X0628313/2013(H5N1)	449	0.9
UniRef90_A0A059SWA6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Cambodia/X0810301/2013(H5N1)	449	0.9
UniRef90_A0A059SWB9	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Cambodia/X0817302/2013(H5N1)	449	0.9
UniRef90_A0A059SWC6	Cluster: Matrix protein 2 (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/Cambodia/X0913301/2013(H5N1); Influenza A virus (A/Hubei/1/2006(H5N1)	74	0.9
UniRef90_A0A059SWI2	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	20	Influenza A virus (A/Cambodia/X0828324/2013(H5N1); Influenza A virus (A/civet cat/Cambodia/X0313307/2013(H5N1); Influenza A virus (A/chicken/Cambodia/X0218303/2013(H5N1); Influenza A virus (A/chicken/Cambodia/X0218304/2013(H5N1); Influenza A virus (A/Cambodia/X0808305/2013(H5N1); Influenza A virus (A/Cambodia/X0219301/2013(H5N1); Influenza A virus (A/tiger/Vietnam/NCVD-3797/2013(H5N1); Influenza A virus (A/duck/Khanhhoa/CVVI-24/2013(H5N1); Influenza A virus (A/duck/Cambodia/59W3M1/2013(H5N1); Influenza A virus (A/Cambodia/X0215301/2013(H5N1)	449	0.9
UniRef90_A0A059SWQ9	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Cambodia/X0913301/2013(H5N1)	449	0.9
UniRef90_A0A059SWR5	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Cambodia/X1024307/2013(H5N1)	449	0.9
UniRef90_A0A059UDR0	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Shanghai/D/2011(H9N2)	466	0.9
UniRef90_A0A059UMW5	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/Minnesota/A01493740/2014(H1N2)	469	0.9
UniRef90_A0A060AED2	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/Habana/1590/2013(H1N1); Influenza A virus (A/Habana/1565/2013(H1N1); Influenza A virus (A/Habana/1367/2013(H1N1)	295	0.9
UniRef90_A0A060AFH5	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/swine/Nebraska/A01493915/2014(H3N2)	469	0.9
UniRef90_A0A060BK27	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/pekin duck/Vietnam/27386/2009(H5N1); Influenza A virus (A/chicken/Vietnam/27265/2009(H5N1)	449	0.9
UniRef90_A0A060D905	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza B virus (B/California/NHRC423871/2014)	466	0.9
UniRef90_A0A060KUI7	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/reassortant/NIBRG-14(Viet Nam/1194/2004 x PuertoRico/8/1934)	449	0.9
UniRef90_A0A060N6L6	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/muscovy duck/Vietnam/LBM330/2013(H5N1); Influenza A virus (A/muscovy duck/Vietnam/LBM335/2013(H5N1)	449	0.9
UniRef90_A0A067XMR1	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Finland/10944/2009(H4N8)	138	0.9
UniRef90_A0A067XNA6	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/mallard/Finland/10940/2009(H9N2); Influenza A virus (A/mallard/Norway/685/05(H9N2); Influenza A virus (A/teal/Norway/500/05(H9N2)	148	0.9
UniRef90_A0A067YAW5	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/ruddy shelduck/Mongolia/911T2/2009(H5N1)	449	0.9
